condition,variant,threshold,budget,backend,benchmark,sample_index,sample_id_hash,run_status,umr_f1,hbps,task_score
theory_of_mind,external_defenses,,0,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.0,0.0
theory_of_mind,external_defenses,,1,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.347722,0.0
theory_of_mind,external_defenses,,2,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.347722,0.0
theory_of_mind,external_defenses,,4,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.347722,0.0
theory_of_mind,external_defenses,,8,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.0,0.347722,0.0
theory_of_mind,external_defenses,,16,Graphiti,PersonaLens,0,e08dc68d52caad99,ok,0.424242,0.347722,0.0
theory_of_mind,external_defenses,,0,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.0,0.0,0.52
theory_of_mind,external_defenses,,1,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.0,0.218792,0.52
theory_of_mind,external_defenses,,2,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.0,0.218792,0.52
theory_of_mind,external_defenses,,4,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.733333,0.218792,0.52
theory_of_mind,external_defenses,,8,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.628571,0.218792,0.52
theory_of_mind,external_defenses,,16,Graphiti,PersonaLens,1,eaa7ce46ccf4bab1,ok,0.666667,0.218792,0.52
theory_of_mind,external_defenses,,0,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.0,0.0,1.0
theory_of_mind,external_defenses,,1,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.133333,0.0,1.0
theory_of_mind,external_defenses,,2,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.125,0.0,1.0
theory_of_mind,external_defenses,,4,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.125,0.0,1.0
theory_of_mind,external_defenses,,8,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.133333,0.0,1.0
theory_of_mind,external_defenses,,16,Graphiti,PersonaMem-v2,0,3562d0be924ba0bf,ok,0.5,0.0,1.0
theory_of_mind,external_defenses,,0,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.0,0.0,1.0
theory_of_mind,external_defenses,,1,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
theory_of_mind,external_defenses,,2,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
theory_of_mind,external_defenses,,4,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
theory_of_mind,external_defenses,,8,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.444444,0.333333,1.0
theory_of_mind,external_defenses,,16,Graphiti,PersonaMem-v2,1,efaa0668f9384ef5,ok,0.4,0.666667,1.0
theory_of_mind,external_defenses,,0,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.153846,1.0,0.25
theory_of_mind,external_defenses,,1,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.133333,1.0,0.25
theory_of_mind,external_defenses,,2,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.133333,1.0,0.25
theory_of_mind,external_defenses,,4,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.133333,1.0,0.25
theory_of_mind,external_defenses,,8,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.133333,1.0,0.25
theory_of_mind,external_defenses,,16,LangMem+LangGraph,ETAPP_150x32,0,663569715531bd0c,ok,0.133333,1.0,0.25
theory_of_mind,external_defenses,,0,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.153846,0.5,1.0
theory_of_mind,external_defenses,,1,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.3,0.5,1.0
theory_of_mind,external_defenses,,2,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.3,0.5,1.0
theory_of_mind,external_defenses,,4,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.3,0.5,1.0
theory_of_mind,external_defenses,,8,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.3,0.5,1.0
theory_of_mind,external_defenses,,16,LangMem+LangGraph,ETAPP_150x32,1,a574497a4b01c575,ok,0.3,0.5,1.0
theory_of_mind,external_defenses,,0,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.020202,1.0
theory_of_mind,external_defenses,,1,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.020202,1.0
theory_of_mind,external_defenses,,2,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.018018,1.0
theory_of_mind,external_defenses,,4,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.018018,1.0
theory_of_mind,external_defenses,,8,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.018018,1.0
theory_of_mind,external_defenses,,16,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,0,5c278ffcd1eebc54,ok,0.0,0.018018,1.0
theory_of_mind,external_defenses,,0,LangMem+LangGraph,LoCoMo_10conv_1523QA_20speakers,1,9464b2fc6d38e799,ok,0.0,0.078431,1.0
