condition,budget,benchmark,N_records,N_clusters,backend_count,umr_f1,umr_f1_ci_low,umr_f1_ci_high,umr_f1_n,hbps,hbps_ci_low,hbps_ci_high,hbps_n,task_score,task_score_ci_low,task_score_ci_high,task_score_n
stateful_counterfactual,16,PersonaMem-v2,384,128,3,0.260044328125,0.23732231386718752,0.283722169921875,128,0.10416661979166666,0.07378469772135417,0.13368050527343753,128,0.4817708333333333,0.3984375,0.5729166666666666,128
theory_of_mind,0,ETAPP_150x32,384,128,3,0.3069485338541667,0.27649365989583335,0.3355812013671875,128,0.5086950026041667,0.44939813196614586,0.5716149373697916,128,0.38989206249999997,0.34018918619791666,0.4451429345052083,128
theory_of_mind,0,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.018156828125,0.0026041666666666665,0.0384241174479166,128,0.11508138281250001,0.09464989505208334,0.13559922656249998,128,0.40428582031250004,0.33540121868489586,0.47538112675781247,128
theory_of_mind,0,PersonaLens,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.23598836197916667,0.20499484459635417,0.2661954940755208,128
theory_of_mind,0,PersonaMem-v2,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.6822916666666666,0.6067708333333334,0.7578125,128
theory_of_mind,1,ETAPP_150x32,384,128,3,0.3434911015625,0.3137085481770834,0.3735825817708333,128,0.5086950026041667,0.44257738333333335,0.5749453311848958,128,0.38989206249999997,0.3367937022135417,0.44350304680989583,128
theory_of_mind,1,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.018156828125,0.002531828125,0.03899016145833333,128,0.10818408072916666,0.0894939908203125,0.129074721484375,128,0.40428582031250004,0.3330000470052083,0.4737445344401042,128
theory_of_mind,1,PersonaLens,384,128,3,0.03113586197916667,0.023768686132812498,0.03960367298177083,128,0.20117556770833334,0.17590551712239585,0.2272527458333333,128,0.23598836197916667,0.205664048046875,0.26639206875,128
theory_of_mind,1,PersonaMem-v2,384,128,3,0.3505729427083334,0.32462621842447914,0.3776729193359375,128,0.19618046354166668,0.16059020026041668,0.23437490898437502,128,0.6822916666666666,0.6041666666666666,0.7604166666666666,128
theory_of_mind,2,ETAPP_150x32,384,128,3,0.36156938541666667,0.33473085273437503,0.39005886204427087,128,0.5133246328125,0.4502006794270833,0.5719983328776039,128,0.38989206249999997,0.33921761171875,0.44446569778645834,128
theory_of_mind,2,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.08223379687499999,0.04444010247395833,0.11980179908854162,128,0.09028998697916667,0.07754913763020833,0.10396408261718751,128,0.40428582031250004,0.32858962812500003,0.4765509038411458,128
theory_of_mind,2,PersonaLens,384,128,3,0.043311786458333335,0.03393333971354167,0.052826190690104156,128,0.2508129609375,0.2258376750651042,0.275041621484375,128,0.23598836197916667,0.20422822838541668,0.26725412330729165,128
theory_of_mind,2,PersonaMem-v2,384,128,3,0.351838234375,0.32629416796875,0.37955828919270834,128,0.19270823958333333,0.15624990618489584,0.2317707113932292,128,0.6822916666666666,0.6041666666666666,0.7578125,128
theory_of_mind,4,ETAPP_150x32,384,128,3,0.369358,0.34266449576822916,0.3960511172526042,128,0.5133246328125,0.4506068684244792,0.573858844921875,128,0.38989206249999997,0.33845444720052087,0.43890211321614586,128
theory_of_mind,4,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.18379629947916665,0.12673611712239582,0.24282407558593752,128,0.09415449739583334,0.0823698314453125,0.10706388736979167,128,0.40428582031250004,0.3333773602864583,0.47959381184895833,128
theory_of_mind,4,PersonaLens,384,128,3,0.20122442968749998,0.17725461692708336,0.22589838515624996,128,0.33490968489583334,0.3147124417317709,0.35373738450520836,128,0.23598836197916667,0.20619913326822917,0.26838185859374997,128
theory_of_mind,4,PersonaMem-v2,384,128,3,0.42808885156250004,0.4008635567057292,0.4569416646484375,128,0.16059019791666668,0.12673604153645834,0.19357630748697913,128,0.6822916666666666,0.6067708333333333,0.7552734374999996,128
theory_of_mind,8,ETAPP_150x32,384,128,3,0.4459619453125,0.42143354954427087,0.4708379667317708,128,0.5133246328125,0.44824795891927083,0.5758040014973957,128,0.38989206249999997,0.33736796503906247,0.4425263947265624,128
theory_of_mind,8,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.19074074479166664,0.13234954166666665,0.25175202903645827,128,0.09700773177083334,0.0844899736328125,0.11049807955729167,128,0.40428582031250004,0.33617264752604165,0.4749092112630209,128
theory_of_mind,8,PersonaLens,384,128,3,0.5578872786458333,0.5302014299479166,0.5864984816406249,128,0.3716406015625,0.3570219792317708,0.3857362477213542,128,0.23598836197916667,0.2050766888671875,0.2661282483723958,128
theory_of_mind,8,PersonaMem-v2,384,128,3,0.42836542447916665,0.40083139785156247,0.45693151074218746,128,0.15624991927083334,0.12413187734375003,0.18749990657552085,128,0.6822916666666666,0.6041666666666666,0.7578125,128
theory_of_mind,16,ETAPP_150x32,384,128,3,0.45429726041666674,0.4273801415364583,0.477480453125,128,0.5154947708333334,0.45282982890625,0.5770449746744791,128,0.38989206249999997,0.33893117604166667,0.4415379475911458,128
theory_of_mind,16,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.24733797135416669,0.18494430188802083,0.3111407779947917,128,0.0954174453125,0.08312969680989582,0.108539383203125,128,0.40428582031250004,0.33154489947916665,0.4777712429036458,128
theory_of_mind,16,PersonaLens,384,128,3,0.6309881015625001,0.6046643266276043,0.6561618621744791,128,0.37235941145833334,0.3585274912109375,0.38714831171874997,128,0.23598836197916667,0.20509322239583333,0.264265741796875,128
theory_of_mind,16,PersonaMem-v2,384,128,3,0.44488269531249997,0.41849194641927084,0.47023570729166664,128,0.13715269270833333,0.10677076555989581,0.16840269016927084,128,0.6822916666666666,0.6015625,0.7578125,128
undefended,0,ETAPP_150x32,384,128,3,0.3167610833333333,0.2898372483723959,0.3451538901692709,128,0.5386284479166666,0.47563078522135416,0.598418663671875,128,0.40157398437499997,0.35484670579427086,0.45360718554687496,128
undefended,0,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.02068865625,0.00506365625,0.04217303125,128,0.1304047890625,0.1113380484375,0.14978029778645832,128,0.5206492005208334,0.45322341940104166,0.5882072895833333,128
undefended,0,PersonaLens,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.2349597161458333,0.20337474752604168,0.26519621822916667,128
undefended,0,PersonaMem-v2,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.6875,0.6093098958333334,0.7630859374999996,128
undefended,1,ETAPP_150x32,384,128,3,0.4328483333333333,0.40476786725260416,0.45953984492187494,128,0.5394965026041667,0.4805504748046875,0.5986136138020832,128,0.40157398437499997,0.3531911654296875,0.45384156835937495,128
undefended,1,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.02068865625,0.005642359374999999,0.042173031250000007,128,0.1314788984375,0.11163317278645835,0.1513635749348958,128,0.5206492005208334,0.4513666705078125,0.5895316237630209,128
undefended,1,PersonaLens,384,128,3,0.0338208046875,0.025676146484375002,0.04263629251302083,128,0.19690183333333333,0.17195049759114583,0.22262526315104164,128,0.2349597161458333,0.2042581966145833,0.2655736899088541,128
undefended,1,PersonaMem-v2,384,128,3,0.34991882291666665,0.32536307369791667,0.37607068352864587,128,0.19531240625000001,0.16059019003906252,0.2317924609374999,128,0.6875,0.6119791666666667,0.760481770833333,128
undefended,2,ETAPP_150x32,384,128,3,0.4985850182291666,0.4723301987630208,0.5229193166666667,128,0.5410156015625,0.4807703970052083,0.601338959765625,128,0.40157398437499997,0.3527412435546875,0.4530670213541666,128
undefended,2,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.10007233854166667,0.06075376328125,0.14525028880208324,128,0.10420294270833333,0.08966894928385417,0.11887761796875,128,0.5206492005208334,0.45734025214843754,0.591637713671875,128
undefended,2,PersonaLens,384,128,3,0.04494683072916667,0.036215749414062505,0.054736099674479156,128,0.25527342708333334,0.23024269296875,0.2816113827473959,128,0.2349597161458333,0.20410493476562502,0.26577421152343755,128
undefended,2,PersonaMem-v2,384,128,3,0.35095803645833334,0.32624332604166667,0.37616380983072917,128,0.19097212760416665,0.1553601482421875,0.22916655468750002,128,0.6875,0.6119791666666666,0.7630208333333333,128
undefended,4,ETAPP_150x32,384,128,3,0.5517775703125001,0.5329620379557292,0.5689867037109374,128,0.5414496302083334,0.48236108085937496,0.5986863137369791,128,0.40157398437499997,0.3534082861328125,0.44843356249999994,128
undefended,4,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.1948640078125,0.13773075703125,0.2595196746744792,128,0.10274260416666667,0.08863082962239585,0.11754402955729167,128,0.5206492005208334,0.45157817109375004,0.5901297376953125,128
undefended,4,PersonaLens,384,128,3,0.2682745390625,0.24262130592447917,0.2938084578776041,128,0.3489712916666666,0.33242142265625,0.36584425624999994,128,0.2349597161458333,0.205856302734375,0.2653335035807292,128
undefended,4,PersonaMem-v2,384,128,3,0.433356265625,0.4065714274088542,0.46019170618489585,128,0.15885408333333334,0.12673601035156248,0.19270824765625,128,0.6875,0.6067708333333334,0.7630208333333333,128
undefended,8,ETAPP_150x32,384,128,3,0.5425434817708332,0.5276820307291665,0.556798348828125,128,0.5460069244791667,0.48826205305989584,0.6045055395833333,128,0.40157398437499997,0.3528370549479167,0.45259066197916664,128
undefended,8,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.21916956510416666,0.15665364824218747,0.28602647884114574,128,0.10531887239583333,0.09061076901041669,0.12073520944010417,128,0.5206492005208334,0.45261335598958335,0.5870644962239583,128
undefended,8,PersonaLens,384,128,3,0.6562555572916666,0.6387114325520833,0.6723141873697916,128,0.3776340442708333,0.3643041887369791,0.3901392484375,128,0.2349597161458333,0.20433823951822916,0.2654651501953125,128
undefended,8,PersonaMem-v2,384,128,3,0.4335265208333333,0.4057230154296875,0.46206327584635415,128,0.15885407812500002,0.12845042916666669,0.19099384889322907,128,0.6875,0.609375,0.7604166666666667,128
undefended,16,ETAPP_150x32,384,128,3,0.49122527604166666,0.4761765844401042,0.5050106604166666,128,0.5468749791666667,0.48603765475260413,0.6046929094401042,128,0.40157398437499997,0.35266730690104164,0.45110251666666656,128
undefended,16,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.3005497786458333,0.23586372623697915,0.3724009074869791,128,0.10538753906250001,0.09107307395833333,0.12014188600260418,128,0.5206492005208334,0.45127697076822926,0.5867530056640625,128
undefended,16,PersonaLens,384,128,3,0.7244243255208334,0.7151096592447916,0.7335571129557291,128,0.3776340442708333,0.3641312559244792,0.3916442794921875,128,0.2349597161458333,0.20544316347656247,0.2643415423177083,128
undefended,16,PersonaMem-v2,384,128,3,0.45663560416666665,0.4291200092447917,0.48296301803385416,128,0.14496519791666668,0.11545132285156248,0.1762151849609375,128,0.6875,0.6067708333333333,0.765625,128
